"search_key","document_id","source_type","source_id","warning_light_id","warning_light_name","make","model","model_year","component_category","severity","recommended_service_type","content","source_url","image_path","review_status"
warning_light-WL011,warning_light:WL011,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL011,WL011,Glow plug/diesel pre-heat warning,,,,DIESEL_ENGINE_STARTING,INFORMATIONAL,DIESEL_STARTING_SYSTEM_DIAGNOSTIC,"Warning light WL011: Glow plug/diesel pre-heat warning. Symbol label: diesel glow plug coil. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: diesel_engine_starting. Meaning: This dashboard symbol indicates glow plug/diesel pre-heat warning or a related status/fault in the diesel engine starting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to diesel engine starting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: diesel_starting_system_diagnostic.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL012,warning_light:WL012,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL012,WL012,Frost warning,,,,ROAD_CONDITION_ADVISORY,INFORMATIONAL,DRIVER_INFORMATION_NO_SERVICE,"Warning light WL012: Frost warning. Symbol label: road frost warning. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: road_condition_advisory. Meaning: This dashboard symbol indicates frost warning or a related status/fault in the road condition advisory system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to road condition advisory. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: driver_information_no_service.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL013,warning_light:WL013,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL013,WL013,Ignition switch warning,,,,SECURITY_IMMOBILIZER,INFORMATIONAL,KEY_IMMOBILIZER_DIAGNOSTIC,"Warning light WL013: Ignition switch warning. Symbol label: key ignition warning. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: security_immobilizer. Meaning: This dashboard symbol indicates ignition switch warning or a related status/fault in the security immobilizer system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to security immobilizer. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: key_immobilizer_diagnostic.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL014,warning_light:WL014,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL014,WL014,Key not in the vehicle,,,,SECURITY_IMMOBILIZER,INFORMATIONAL,KEY_IMMOBILIZER_DIAGNOSTIC,"Warning light WL014: Key not in the vehicle. Symbol label: key not detected. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: security_immobilizer. Meaning: This dashboard symbol indicates key not in the vehicle or a related status/fault in the security immobilizer system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to security immobilizer. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: key_immobilizer_diagnostic.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL015,warning_light:WL015,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL015,WL015,Key fob battery low,,,,SECURITY_IMMOBILIZER,INFORMATIONAL,KEY_IMMOBILIZER_DIAGNOSTIC,"Warning light WL015: Key fob battery low. Symbol label: key fob signal battery low. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: security_immobilizer. Meaning: This dashboard symbol indicates key fob battery low or a related status/fault in the security immobilizer system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to security immobilizer. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: key_immobilizer_diagnostic.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL016,warning_light:WL016,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL016,WL016,Distance warning,,,,ADAS_DRIVER_ASSISTANCE,INFORMATIONAL,ADAS_CAMERA_RADAR_DIAGNOSTIC,"Warning light WL016: Distance warning. Symbol label: following distance or forward distance warning. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: adas_driver_assistance. Meaning: This dashboard symbol indicates distance warning or a related status/fault in the adas driver assistance system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to adas driver assistance. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: adas_camera_radar_diagnostic.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL017,warning_light:WL017,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL017,WL017,Press clutch pedal,,,,DRIVER_PROMPT,INFORMATIONAL,DRIVER_INFORMATION_NO_SERVICE,"Warning light WL017: Press clutch pedal. Symbol label: clutch pedal prompt. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: driver_prompt. Meaning: This dashboard symbol indicates press clutch pedal or a related status/fault in the driver prompt system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to driver prompt. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: driver_information_no_service.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL018,warning_light:WL018,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL018,WL018,Press brake pedal,,,,DRIVER_PROMPT,INFORMATIONAL,DRIVER_INFORMATION_NO_SERVICE,"Warning light WL018: Press brake pedal. Symbol label: brake pedal prompt. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: driver_prompt. Meaning: This dashboard symbol indicates press brake pedal or a related status/fault in the driver prompt system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to driver prompt. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: driver_information_no_service.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL019,warning_light:WL019,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL019,WL019,Steering lock warning,,,,STEERING,INFORMATIONAL,STEERING_SYSTEM_DIAGNOSTIC,"Warning light WL019: Steering lock warning. Symbol label: steering lock. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: steering. Meaning: This dashboard symbol indicates steering lock warning or a related status/fault in the steering system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to steering. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: steering_system_diagnostic.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL020,warning_light:WL020,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL020,WL020,Main beam headlights,,,,EXTERIOR_LIGHTING,INFORMATIONAL,EXTERIOR_LIGHTING_CHECK_OR_REPAIR,"Warning light WL020: Main beam headlights. Symbol label: high beam headlights. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates main beam headlights or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: exterior_lighting_check_or_repair.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL021,warning_light:WL021,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL021,WL021,Tyre pressure low,,,,TIRES_WHEELS,SERVICE_SOON,TIRE_PRESSURE_AND_TIRE_INSPECTION,"Warning light WL021: Tyre pressure low. Symbol label: tire pressure horseshoe exclamation. Color: amber/yellow. Severity: service_soon. Stop immediately: No, unless paired with a red warning, unsafe behavior, smoke, overheating, or fuel smell.. Component category: tires_wheels. Meaning: This dashboard symbol indicates tyre pressure low or a related status/fault in the tires wheels system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to tires wheels. Immediate action: Check tire pressure, inflate to placard value, and inspect for puncture or tire damage. Recommended service type: tire_pressure_and_tire_inspection.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL022,warning_light:WL022,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL022,WL022,Sidelight information,,,,EXTERIOR_LIGHTING,INFORMATIONAL,EXTERIOR_LIGHTING_CHECK_OR_REPAIR,"Warning light WL022: Sidelight information. Symbol label: side light indicator. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates sidelight information or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: exterior_lighting_check_or_repair.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL023,warning_light:WL023,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL023,WL023,Exterior light faults,,,,EXTERIOR_LIGHTING,SERVICE_SOON,EXTERIOR_LIGHTING_CHECK_OR_REPAIR,"Warning light WL023: Exterior light faults. Symbol label: bulb failure warning. Color: amber/yellow. Severity: service_soon. Stop immediately: No, unless paired with a red warning, unsafe behavior, smoke, overheating, or fuel smell.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates exterior light faults or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Drive cautiously if controllable, read any dashboard message, and schedule the recommended diagnostic or maintenance action. Recommended service type: exterior_lighting_check_or_repair.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL024,warning_light:WL024,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL024,WL024,Brake lights warning,,,,EXTERIOR_LIGHTING,SERVICE_SOON,EXTERIOR_LIGHTING_CHECK_OR_REPAIR,"Warning light WL024: Brake lights warning. Symbol label: brake lamp warning. Color: amber/yellow. Severity: service_soon. Stop immediately: No, unless paired with a red warning, unsafe behavior, smoke, overheating, or fuel smell.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates brake lights warning or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Drive cautiously if controllable, read any dashboard message, and schedule the recommended diagnostic or maintenance action. Recommended service type: exterior_lighting_check_or_repair.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL025,warning_light:WL025,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL025,WL025,Diesel particulate filter warning,,,,ENGINE_EMISSIONS,SERVICE_SOON,ENGINE_EMISSIONS_DIAGNOSTIC,"Warning light WL025: Diesel particulate filter warning. Symbol label: diesel particulate filter. Color: amber/yellow. Severity: service_soon. Stop immediately: No, unless paired with a red warning, unsafe behavior, smoke, overheating, or fuel smell.. Component category: engine_emissions. Meaning: This dashboard symbol indicates diesel particulate filter warning or a related status/fault in the engine emissions system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to engine emissions. Immediate action: Drive cautiously if controllable, read any dashboard message, and schedule the recommended diagnostic or maintenance action. Recommended service type: engine_emissions_diagnostic.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
