warning_light_id,warning_light_name,symbol_label,color,severity,stop_immediately,component_category,description,possible_causes,immediate_action,recommended_service_type,rag_ready_content,source_type,source_url,review_status
WL011,Glow plug/diesel pre-heat warning,diesel glow plug coil,green/blue/amber,informational,No.,diesel_engine_starting,"This dashboard symbol indicates glow plug/diesel pre-heat warning or a related status/fault in the diesel engine starting system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to diesel engine starting.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,diesel_starting_system_diagnostic,"Warning light WL011: Glow plug/diesel pre-heat warning. Symbol label: diesel glow plug coil. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: diesel_engine_starting. Meaning: This dashboard symbol indicates glow plug/diesel pre-heat warning or a related status/fault in the diesel engine starting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to diesel engine starting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: diesel_starting_system_diagnostic.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL012,Frost warning,road frost warning,green/blue/amber,informational,No.,road_condition_advisory,"This dashboard symbol indicates frost warning or a related status/fault in the road condition advisory system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to road condition advisory.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,driver_information_no_service,"Warning light WL012: Frost warning. Symbol label: road frost warning. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: road_condition_advisory. Meaning: This dashboard symbol indicates frost warning or a related status/fault in the road condition advisory system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to road condition advisory. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: driver_information_no_service.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL013,Ignition switch warning,key ignition warning,green/blue/amber,informational,No.,security_immobilizer,"This dashboard symbol indicates ignition switch warning or a related status/fault in the security immobilizer system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to security immobilizer.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,key_immobilizer_diagnostic,"Warning light WL013: Ignition switch warning. Symbol label: key ignition warning. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: security_immobilizer. Meaning: This dashboard symbol indicates ignition switch warning or a related status/fault in the security immobilizer system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to security immobilizer. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: key_immobilizer_diagnostic.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL014,Key not in the vehicle,key not detected,green/blue/amber,informational,No.,security_immobilizer,"This dashboard symbol indicates key not in the vehicle or a related status/fault in the security immobilizer system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to security immobilizer.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,key_immobilizer_diagnostic,"Warning light WL014: Key not in the vehicle. Symbol label: key not detected. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: security_immobilizer. Meaning: This dashboard symbol indicates key not in the vehicle or a related status/fault in the security immobilizer system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to security immobilizer. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: key_immobilizer_diagnostic.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL015,Key fob battery low,key fob signal battery low,green/blue/amber,informational,No.,security_immobilizer,"This dashboard symbol indicates key fob battery low or a related status/fault in the security immobilizer system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to security immobilizer.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,key_immobilizer_diagnostic,"Warning light WL015: Key fob battery low. Symbol label: key fob signal battery low. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: security_immobilizer. Meaning: This dashboard symbol indicates key fob battery low or a related status/fault in the security immobilizer system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to security immobilizer. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: key_immobilizer_diagnostic.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL016,Distance warning,following distance or forward distance warning,green/blue/amber,informational,No.,adas_driver_assistance,"This dashboard symbol indicates distance warning or a related status/fault in the adas driver assistance system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to adas driver assistance.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,adas_camera_radar_diagnostic,"Warning light WL016: Distance warning. Symbol label: following distance or forward distance warning. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: adas_driver_assistance. Meaning: This dashboard symbol indicates distance warning or a related status/fault in the adas driver assistance system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to adas driver assistance. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: adas_camera_radar_diagnostic.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL017,Press clutch pedal,clutch pedal prompt,green/blue/amber,informational,No.,driver_prompt,"This dashboard symbol indicates press clutch pedal or a related status/fault in the driver prompt system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to driver prompt.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,driver_information_no_service,"Warning light WL017: Press clutch pedal. Symbol label: clutch pedal prompt. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: driver_prompt. Meaning: This dashboard symbol indicates press clutch pedal or a related status/fault in the driver prompt system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to driver prompt. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: driver_information_no_service.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL018,Press brake pedal,brake pedal prompt,green/blue/amber,informational,No.,driver_prompt,"This dashboard symbol indicates press brake pedal or a related status/fault in the driver prompt system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to driver prompt.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,driver_information_no_service,"Warning light WL018: Press brake pedal. Symbol label: brake pedal prompt. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: driver_prompt. Meaning: This dashboard symbol indicates press brake pedal or a related status/fault in the driver prompt system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to driver prompt. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: driver_information_no_service.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL019,Steering lock warning,steering lock,green/blue/amber,informational,No.,steering,"This dashboard symbol indicates steering lock warning or a related status/fault in the steering system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to steering.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,steering_system_diagnostic,"Warning light WL019: Steering lock warning. Symbol label: steering lock. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: steering. Meaning: This dashboard symbol indicates steering lock warning or a related status/fault in the steering system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to steering. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: steering_system_diagnostic.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL020,Main beam headlights,high beam headlights,green/blue/amber,informational,No.,exterior_lighting,"This dashboard symbol indicates main beam headlights or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,exterior_lighting_check_or_repair,"Warning light WL020: Main beam headlights. Symbol label: high beam headlights. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates main beam headlights or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: exterior_lighting_check_or_repair.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL021,Tyre pressure low,tire pressure horseshoe exclamation,amber/yellow,service_soon,"No, unless paired with a red warning, unsafe behavior, smoke, overheating, or fuel smell.",tires_wheels,"This dashboard symbol indicates tyre pressure low or a related status/fault in the tires wheels system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to tires wheels.,"Check tire pressure, inflate to placard value, and inspect for puncture or tire damage.",tire_pressure_and_tire_inspection,"Warning light WL021: Tyre pressure low. Symbol label: tire pressure horseshoe exclamation. Color: amber/yellow. Severity: service_soon. Stop immediately: No, unless paired with a red warning, unsafe behavior, smoke, overheating, or fuel smell.. Component category: tires_wheels. Meaning: This dashboard symbol indicates tyre pressure low or a related status/fault in the tires wheels system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to tires wheels. Immediate action: Check tire pressure, inflate to placard value, and inspect for puncture or tire damage. Recommended service type: tire_pressure_and_tire_inspection.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL022,Sidelight information,side light indicator,green/blue/amber,informational,No.,exterior_lighting,"This dashboard symbol indicates sidelight information or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,exterior_lighting_check_or_repair,"Warning light WL022: Sidelight information. Symbol label: side light indicator. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates sidelight information or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: exterior_lighting_check_or_repair.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
